SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INFY,EQ,04-Mar-2026,1288.9,1292.0,1317.0,1292.0,1306.1,1307.4,1305.61,15154950,197863.83,300021, 7784554, 51.37
ITC,EQ,04-Mar-2026,314.9,310.6,315.5,310.5,311.95,311.95,312.43,24165489,75500.28,281005, 16136963, 66.78
JIOFIN,EQ,04-Mar-2026,249.0,245.0,245.4,239.8,241.0,241.3,241.81,13886010,33578.08,148175, 6674975, 48.07
JSWSTEEL,EQ,04-Mar-2026,1267.3,1236.0,1253.9,1200.0,1208.1,1213.0,1215.96,1682849,20462.73,85519, 566087, 33.64
KOTAKBANK,EQ,04-Mar-2026,413.1,405.0,410.5,402.2,403.7,403.35,406.33,18393751,74739.64,210319, 13244355, 72.00
LT,EQ,04-Mar-2026,4066.7,3950.0,3959.0,3760.0,3882.0,3882.6,3827.67,7635350,292255.94,489192, 4031671, 52.80
M&M,EQ,04-Mar-2026,3334.3,3240.0,3278.1,3207.9,3269.5,3264.3,3246.91,4537215,147319.44,290136, 2922414, 64.41
MARUTI,EQ,04-Mar-2026,14388.0,14150.0,14184.0,13794.0,14167.0,14158.0,14005.38,710366,99489.46,155582, 414417, 58.34
MAXHEALTH,EQ,04-Mar-2026,1083.6,1065.6,1067.8,1039.5,1052.3,1053.7,1051.02,3349782,35206.87,91737, 2189290, 65.36
NESTLEIND,EQ,04-Mar-2026,1279.7,1259.7,1270.0,1240.0,1244.9,1245.3,1248.92,1112032,13888.4,69188, 668150, 60.08
NTPC,EQ,04-Mar-2026,377.55,370.75,373.85,364.1,364.95,365.8,366.88,11433169,41945.51,286645, 6861488, 60.01
ONGC,EQ,04-Mar-2026,282.2,287.0,288.35,275.1,275.65,276.95,281.13,53722773,151029.71,384825, 28205309, 52.50
POWERGRID,EQ,04-Mar-2026,296.8,296.0,296.0,288.9,290.6,291.95,291.84,28191826,82276.05,474502, 19727198, 69.97
RELIANCE,EQ,04-Mar-2026,1358.0,1330.0,1352.8,1307.0,1345.2,1345.0,1334.6,32495007,433679.44,643399, 20714128, 63.75
SBILIFE,EQ,04-Mar-2026,2032.2,1964.0,1997.2,1923.6,1931.0,1930.6,1946.81,966848,18822.73,86312, 577787, 59.76
SBIN,EQ,04-Mar-2026,1189.9,1172.1,1182.7,1157.6,1173.3,1174.5,1167.0,13855065,161689.09,278411, 8436616, 60.89
SHRIRAMFIN,EQ,04-Mar-2026,1052.5,1042.3,1042.5,987.4,1010.0,1010.0,1007.81,9200897,92727.22,312626, 5218410, 56.72
SUNPHARMA,EQ,04-Mar-2026,1752.5,1721.2,1757.2,1721.0,1750.0,1750.5,1745.68,4914857,85797.82,180680, 3816259, 77.65
TATACONSUM,EQ,04-Mar-2026,1125.2,1114.5,1118.8,1098.7,1113.3,1110.6,1109.78,1221984,13561.36,80100, 695630, 56.93
TATASTEEL,EQ,04-Mar-2026,211.01,207.0,207.0,194.43,196.06,196.73,197.78,72096617,142589.16,465969, 27895686, 38.69
TCS,EQ,04-Mar-2026,2613.5,2625.0,2635.0,2580.4,2583.0,2587.8,2598.18,3446434,89544.59,193409, 1905680, 55.29
TECHM,EQ,04-Mar-2026,1345.4,1321.0,1362.2,1321.0,1347.4,1351.2,1350.08,1820421,24577.17,107669, 950728, 52.23
TITAN,EQ,04-Mar-2026,4270.3,4205.0,4238.3,4083.5,4195.1,4204.4,4171.47,1024050,42717.98,109959, 537911, 52.53
TMPV,EQ,04-Mar-2026,370.6,363.15,363.9,350.1,351.0,351.2,354.17,17733124,62806.1,311500, 10211891, 57.59
TRENT,EQ,04-Mar-2026,3848.5,3790.3,3798.0,3721.0,3760.2,3756.8,3755.8,811173,30466.02,74885, 431239, 53.16
ULTRACEMCO,EQ,04-Mar-2026,12521.0,12175.0,12500.0,11888.0,12100.0,12107.0,12046.97,394665,47545.16,67579, 214364, 54.32
WIPRO,EQ,04-Mar-2026,198.57,196.01,197.12,194.51,195.11,195.55,195.63,19562075,38269.99,193797, 10012059, 51.18
ADANIENT,EQ,05-Jan-2026,2279.8,2287.0,2303.9,2274.3,2279.0,2279.5,2285.62,696380,15916.62,35281, 291304, 41.83
ADANIPORTS,EQ,05-Jan-2026,1489.5,1488.0,1496.8,1479.1,1491.5,1493.0,1488.97,790039,11763.46,32128, 375885, 47.58
APOLLOHOSP,EQ,05-Jan-2026,7129.5,7129.5,7134.5,7063.5,7086.5,7083.0,7103.45,349588,24832.81,24829, 257301, 73.60
ASIANPAINT,EQ,05-Jan-2026,2772.6,2770.0,2828.0,2769.0,2814.0,2815.6,2812.38,866733,24375.82,51756, 418182, 48.25
